X,Y,Team,Result,Game
162.910262340162,32.3909892637698,NE,Miss,4
164.323725114964,27.8926882326927,NE,Miss,4
147.245628375025,27.0644712254378,NE,Miss,4
181.271486289232,28.7215948461152,NE,Miss,4
178.303191475276,35.2694054072185,NE,Miss,4
192.918244853368,39.0705146028795,NE,Miss,4
191.967967554453,59.5904357251744,NE,Miss,4
186.598923802454,54.0053153740026,NE,Miss,4
181.86868523035,45.5590190335715,NE,Miss,4
175.240880353808,49.88078088575,NE,Miss,4
174.106478208151,58.4601712165226,NE,Miss,4
178.045968374772,64.9714326507445,NE,Miss,4
175.07077749914,69.9883175198363,NE,Miss,4
170.385133459206,71.4420073210797,NE,Miss,4
190.46784427126,73.7852890784919,NE,Miss,4
20.8919995092211,51.9115882965116,NE,Goal,4
